features,review_text,distance_to_center,review_score,image_url,price,star_rating,daily_price,nights,id,location,value_ratio,review_count,name
"Otopark, Wi-Fi",Çok iyi,Merkeze 1.6 km,8.4,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290348830000/2/1/7863/hotel_estambul.jpg?width=552&height=392&mode=crop&anchor=center,2.651 TL,0,(gecelik 1.326 TL),2 Gece,1106251,"Sultanahmet, Fatih, İstanbul -",6.334841628959276,18,Hotel Estambul
"Ücretsiz İptal, Wi-Fi",Muhteşem,Merkeze 1 km,9.3,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638694384274570000/2/1/41183/suit_travel.jpg?width=552&height=392&mode=crop&anchor=center,2.938 TL,0,(gecelik 1.469 TL),2 Gece,1516341,"Taksim, Beyoğlu, İstanbul -",6.330837304288632,9,Suit Travel
"Wi-Fi, Resepsiyon",Normal,Merkeze 0.7 km,7.0,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/0/2/2/461556/ob.jpg?width=552&height=392&mode=crop&anchor=center,2.213 TL,3,(gecelik 1.107 TL),2 Gece,1399990,"Cihangir, Beyoğlu, İstanbul -",6.323396567299007,56,The Havana Residence
,Müthiş,Merkeze 1.2 km,8.6,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293356870000/2/1/10086/pembe_apart_istanbul.jpg?width=552&height=392&mode=crop&anchor=center,2.723 TL,0,(gecelik 1.362 TL),2 Gece,802129,"Fatih, İstanbul -",6.31424375917768,35,Pembe Hotel
"Toplantı Odaları, Wi-Fi, Teras, Resepsiyon, Engelli Dostu",İyi,Merkeze 0.2 km,7.9,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292522970000/2/1/9605/vegan_bellavista_hostel.jpg?width=552&height=392&mode=crop&anchor=center,2.503 TL,3,(gecelik 1.252 TL),2 Gece,808268,"Taksim, Beyoğlu, İstanbul -",6.3099041533546325,79,Vegan Bellavista Hostel
"Kahvaltı Dahil, Resepsiyon, Engelli Dostu",Müthiş,,8.6,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638104034378500000/2/1/25149/world_class_airport_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.725 TL,3,(gecelik 1.363 TL),2 Gece,1406701,"Arnavutköy, İstanbul -",6.3096111518708735,94,World Class Airport Hotel
Kahvaltı Dahil,Müthiş,,8.9,https://media.dev.paximum.com/hotelimages/1492561/ec6262eb835193634d5156c84652897e.jpg?width=552&height=392&mode=crop&anchor=center,2.823 TL,3,(gecelik 1.412 TL),2 Gece,1492561,"Arnavutköy, İstanbul -",6.303116147308782,9,Lavender Hotel
"Wi-Fi, Resepsiyon",İyi,Merkeze 1.1 km,7.6,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294072470000/2/1/10656/palace_point_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.415 TL,0,(gecelik 1.208 TL),2 Gece,506783,"Fatih, İstanbul -",6.291390728476821,18,Palace Point Hotel
"Havuz, Deniz Manzarası, Doğa Manzarası, Restoran, Resepsiyon, Çocuk Dostu",İyi,,7.8,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292403970000/2/1/9256/respiro_park_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.482 TL,0,(gecelik 1.241 TL),2 Gece,1104825,"Kumburgaz, Büyükçekmece, İstanbul -",6.28525382755842,57,Respiro Park Hotel
"Otopark, Wi-Fi, Restoran",İyi,Merkeze 1.2 km,7.5,https://media.dev.paximum.com/hotelimages/104348/cb97dc9eefff93d3766e5cd90e14cc25.jpg?width=552&height=392&mode=crop&anchor=center,2.408 TL,3,(gecelik 1.204 TL),2 Gece,104348,"Yenikapı, Fatih, İstanbul -",6.229235880398671,21,Ottoman Zade Hotel
"Ücretsiz İptal, Wi-Fi, Teras, Resepsiyon, Engelli Dostu",İyi,Merkeze 1.2 km,7.9,https://media.dev.paximum.com/hotelimages/1315408/0bf0f8c3d65d90eacd7e4e63ba028e74.jpg?width=552&height=392&mode=crop&anchor=center,2.543 TL,0,(gecelik 1.272 TL),2 Gece,1315408,"Kumkapı, Fatih, İstanbul -",6.210691823899372,21,Kondoskali Hotel
"Otopark, Çalışma Alanları, Wi-Fi, Deniz Manzarası, Restoran, Masaj",Müthiş,Merkeze 1.5 km,8.7,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290586670000/2/1/8449/seatanbul_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.834 TL,0,(gecelik 1.417 TL),2 Gece,479277,"Sultanahmet, Fatih, İstanbul -",6.139731827805222,19,Seatanbul Hotel
Ücretsiz İptal,Normal,Merkeze 1.1 km,7.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294234830000/2/1/10792/the_reina_istanbul.jpg?width=552&height=392&mode=crop&anchor=center,2.350 TL,3,(gecelik 1.175 TL),2 Gece,1315608,"Fatih, İstanbul -",6.127659574468086,28,The Reina İstanbul
"Ücretsiz İptal, Wi-Fi",İyi,Merkeze 2.2 km,7.5,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293105630000/2/1/9971/hotel_1453.jpg?width=552&height=392&mode=crop&anchor=center,2.447 TL,3,(gecelik 1.224 TL),2 Gece,667710,"Aksaray, Fatih, İstanbul -",6.127450980392156,41,Hotel 1453
Wi-Fi,Muhteşem,Merkeze 1.3 km,9.2,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292527900000/2/1/9636/golf_royal_residence.jpg?width=552&height=392&mode=crop&anchor=center,3.006 TL,4,(gecelik 1.503 TL),2 Gece,745965,"Harbiye, Şişli, İstanbul -",6.12109115103127,19,Golf Royal Residence
"Wi-Fi, Restoran, Resepsiyon, Engelli Dostu",İyi,,7.9,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294277430000/2/1/11057/istanbul_airport_express_plus_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.584 TL,3,(gecelik 1.292 TL),2 Gece,1377038,"Arnavutköy, İstanbul -",6.114551083591332,61,İstanbul Airport Express Plus Hotel
Kahvaltı Dahil,İyi,,7.8,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/638246074156530000/2/1/27960/hotel_oz_sefa.jpg?width=552&height=392&mode=crop&anchor=center,2.552 TL,3,(gecelik 1.276 TL),2 Gece,1433967,"Sefaköy, Küçükçekmece, İstanbul -",6.112852664576803,55,Hotel Öz Sefa
"Kahvaltı Dahil, Otopark, Wi-Fi, Deniz Manzarası, Restoran, Teras",İyi,Merkeze 1.5 km,7.8,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952290357800000/2/1/7918/antique_hostel.jpg?width=552&height=392&mode=crop&anchor=center,2.551 TL,0,(gecelik 1.276 TL),2 Gece,104629,"Sultanahmet, Fatih, İstanbul -",6.112852664576803,89,Antique Hostel
"Otopark, Havuz, Wi-Fi, Restoran, Isıtmalı Havuz, Özel Havuz",İyi,,7.8,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952292408370000/2/1/9282/zin_d_home_cekmekoy.jpg?width=552&height=392&mode=crop&anchor=center,2.553 TL,5,(gecelik 1.277 TL),2 Gece,761768,"Çekmeköy, İstanbul -",6.108065779169929,204,Zin D Home Otel Çekmeköy
Ücretsiz İptal,Olağanüstü,Merkeze 0.7 km,9.8,https://media.dev.paximum.com/hotelimages/1498078/3c8dfa6dfb45f6047a61bd03f5388b45.jpg?width=552&height=392&mode=crop&anchor=center,3.212 TL,0,(gecelik 1.606 TL),2 Gece,1498078,"Yavuz Sinan, Fatih, İstanbul -",6.102117061021171,19,Lucky Hotel Istanbul
"Wi-Fi, Resepsiyon",Misafir Puanı,Merkeze 5.5 km,6.7,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952294265330000/2/1/10982/arkem_hotel_3.jpg?width=552&height=392&mode=crop&anchor=center,2.200 TL,0,(gecelik 1.100 TL),2 Gece,1106035,"Kayışdağı, Ataşehir, İstanbul -",6.090909090909092,194,Arkem Hotel 3
"Ücretsiz İptal, Wi-Fi, Resepsiyon, Engelli Dostu, Çocuk Dostu",İyi,,7.6,https://d3m404n3ahyqc3.cloudfront.net/images/product/1/2/637952293398770000/2/1/10106/white_palace_hotel.jpg?width=552&height=392&mode=crop&anchor=center,2.496 TL,3,(gecelik 1.248 TL),2 Gece,507628,"Bahçelievler, İstanbul -",6.089743589743589,73,White Palace Hotel
